Name;Month;AvgEditionVolume;SalesOfPrintedVersions;SalesOfEVersions;SalesTotal;SpreadOfPrintedVersions;SpreadOfEVersions;SpreadTotal
a1;styczeń 2016;30 180;21 217;936;22 153;21 267;936;22 203
a2;styczeń 2016;80 183;42 775;10 212;52 987;46 874;13 887;60 761
a3;styczeń 2016;30 672;21 287;582;21 869;21 287;582;21 869
a4;styczeń 2016;26 105;17 297;102;17 399;17 438;102;17 540
a5;styczeń 2016;9 769;6 361;0;6 361;6 361;0;6 361
a6;styczeń 2016;52 211;36 010;165;36 175;36 219;165;36 384
a7;styczeń 2016;24 210;16 357;1 576;17 933;18 004;1 967;19 971
a8;styczeń 2016;14 499;10 718;139;10 857;10 742;139;10 881
a9;styczeń 2016;36 603;27 097;36;27 133;27 097;36;27 133
a10;styczeń 2016;433 817;314 709;209;314 918;314 709;209;314 918
a11;styczeń 2016;21 874;15 346;446;15 792;15 354;446;15 800
a12;styczeń 2016;22 986;15 225;245;15 470;15 267;245;15 512
a13;styczeń 2016;24 631;19 461;248;19 709;19 471;248;19 719
a14;styczeń 2016;19 812;12 716;84;12 800;13 799;84;13 883
a15;styczeń 2016;34 190;23 757;1 121;24 878;23 757;1 121;24 878
a16;styczeń 2016;57 555;21 555;339;21 894;21 555;365;21 920
a17;styczeń 2016;44 417;38 784;300;39 084;39 076;424;39 500
a18;styczeń 2016;22 365;15 103;197;15 300;15 145;197;15 342
a19;styczeń 2016;7 953;5 738;38;5 776;5 740;38;5 778
a20;styczeń 2016;245 397;152 113;2 052;154 165;157 164;16 938;174 102
a21;styczeń 2016;28 100;20 947;279;21 226;21 098;279;21 377
a22;styczeń 2016;36 683;27 797;606;28 403;27 801;606;28 407
a23;styczeń 2016;7 215;3 835;75;3 910;3 835;75;3 910
a24;styczeń 2016;6 642;4 875;51;4 926;4 918;51;4 969
a25;styczeń 2016;18 008;10 257;50;10 307;11 193;50;11 243
a26;styczeń 2016;19 249;13 261;146;13 407;14 459;146;14 605
a27;styczeń 2016;15 234;11 900;204;12 104;11 903;204;12 107
a28;styczeń 2016;7 169;2 696;2 200;4 896;2 738;2 500;5 238
a29;styczeń 2016;9 259;3 517;83;3 600;3 517;83;3 600
a30;styczeń 2016;56 133;27 209;349;27 558;27 209;349;27 558
a31;styczeń 2016;13 673;7 283;2 767;10 050;9 716;2 767;12 483
a32;styczeń 2016;82 531;47 389;11 053;58 442;49 117;11 053;60 170
a33;styczeń 2016;9 887;4 739;19;4 758;4 739;19;4 758
a34;styczeń 2016;244 944;152 006;0;152 006;152 726;0;152 726
a35;styczeń 2016;13 097;8 136;0;8 136;8 136;0;8 136
a36;luty 2016;29 482;20 478;428;20 906;20 526;428;20 954
a37;luty 2016;57 013;34 350;10 274;44 624;38 169;13 957;52 126
a38;luty 2016;29 848;20 533;440;20 973;20 533;440;20 973
a39;luty 2016;25 477;17 016;204;17 220;17 132;204;17 336
a40;luty 2016;9 740;6 233;0;6 233;6 233;0;6 233
a41;luty 2016;50 695;34 607;206;34 813;34 898;206;35 104
a42;luty 2016;23 171;15 915;1 057;16 972;16 964;1 417;18 381
a43;luty 2016;14 390;10 227;147;10 374;10 245;147;10 392
a44;luty 2016;35 218;25 207;14;25 221;25 207;14;25 221
a45;luty 2016;438 674;308 246;211;308 457;308 246;211;308 457
a46;luty 2016;20 412;14 535;337;14 872;14 547;337;14 884
a47;luty 2016;22 733;15 149;372;15 521;15 254;372;15 626
a48;luty 2016;22 678;18 095;227;18 322;18 105;227;18 332
a49;luty 2016;19 221;12 397;92;12 489;12 959;92;13 051
a50;luty 2016;32 991;23 822;1 906;25 728;23 822;1 906;25 728
a51;luty 2016;57 509;21 161;321;21 482;21 161;336;21 497
a52;luty 2016;44 255;38 301;389;38 690;38 541;510;39 051
a53;luty 2016;22 092;14 632;307;14 939;14 800;307;15 107
a54;luty 2016;7 597;5 581;43;5 624;5 583;43;5 626
a55;luty 2016;240 562;150 340;2 045;152 385;155 593;17 005;172 598
a56;luty 2016;27 078;20 095;706;20 801;20 249;706;20 955
a57;luty 2016;35 296;27 321;333;27 654;27 325;333;27 658
a58;luty 2016;7 105;3 854;135;3 989;3 997;135;4 132
a59;luty 2016;6 478;4 764;79;4 843;4 847;79;4 926
a60;luty 2016;17 469;9 755;66;9 821;10 820;66;10 886
a61;luty 2016;18 567;12 603;162;12 765;13 918;162;14 080
a62;luty 2016;15 200;11 634;124;11 758;11 637;124;11 761
a63;luty 2016;7 044;2 602;1 821;4 423;2 657;2 121;4 778
a64;luty 2016;9 061;3 120;67;3 187;3 142;67;3 209
a65;luty 2016;58 944;28 415;360;28 775;28 415;360;28 775
a66;luty 2016;13 386;7 313;2 737;10 050;9 668;2 737;12 405
a67;luty 2016;62 812;44 026;11 124;55 150;44 115;11 124;55 239
a68;luty 2016;10 628;5 204;20;5 224;5 204;20;5 224
a69;luty 2016;243 021;143 218;0;143 218;143 938;0;143 938
a70;luty 2016;12 686;7 750;0;7 750;7 750;0;7 750
a71;marzec 2016;28 908;19 961;535;20 496;20 030;535;20 565
a72;marzec 2016;52 743;32 920;10 204;43 124;36 760;13 883;50 643
a73;marzec 2016;29 227;20 345;276;20 621;20 345;276;20 621
a74;marzec 2016;25 006;16 808;123;16 931;17 055;123;17 178
a75;marzec 2016;9 212;5 953;0;5 953;5 957;0;5 957
a76;marzec 2016;51 392;34 212;246;34 458;34 500;246;34 746
a77;marzec 2016;24 524;15 950;927;16 877;17 235;1 287;18 522
a78;marzec 2016;14 091;10 160;207;10 367;10 178;207;10 385
a79;marzec 2016;33 637;24 202;13;24 215;24 456;13;24 469
a80;marzec 2016;434 624;299 578;212;299 790;299 578;212;299 790
a81;marzec 2016;19 727;14 287;249;14 536;14 299;249;14 548
a82;marzec 2016;21 898;14 764;109;14 873;14 774;109;14 883
a83;marzec 2016;22 469;17 965;207;18 172;17 973;207;18 180
a84;marzec 2016;18 851;12 426;118;12 544;12 464;118;12 582
a85;marzec 2016;32 540;23 679;2 014;25 693;23 679;2 014;25 693
a86;marzec 2016;57 532;20 250;325;20 575;20 250;336;20 586
a87;marzec 2016;44 064;37 880;496;38 376;38 497;599;39 096
a88;marzec 2016;21 577;14 486;234;14 720;14 512;234;14 746
a89;marzec 2016;7 663;5 549;102;5 651;5 552;102;5 654
a90;marzec 2016;231 720;143 712;1 997;145 709;148 755;14 333;163 088
a91;marzec 2016;26 875;19 910;336;20 246;20 054;336;20 390
a92;marzec 2016;34 777;26 845;477;27 322;26 849;477;27 326
a93;marzec 2016;6 945;3 649;120;3 769;3 694;120;3 814
a94;marzec 2016;6 651;4 701;26;4 727;4 738;26;4 764
a95;marzec 2016;17 193;9 620;47;9 667;10 765;47;10 812
a96;marzec 2016;18 486;12 466;130;12 596;14 292;130;14 422
a97;marzec 2016;14 933;11 448;157;11 605;11 449;157;11 606
a98;marzec 2016;7 054;2 609;1 867;4 476;2 661;2 167;4 828
a99;marzec 2016;9 266;3 150;63;3 213;3 150;63;3 213
a100;marzec 2016;55 079;26 510;364;26 874;26 510;364;26 874
a101;marzec 2016;13 270;7 254;2 943;10 197;9 593;2 943;12 536
a102;marzec 2016;63 147;44 263;11 068;55 331;44 398;11 068;55 466
a103;marzec 2016;10 504;5 038;20;5 058;5 038;20;5 058
a104;marzec 2016;244 033;143 391;0;143 391;144 111;0;144 111
a105;marzec 2016;12 506;7 528;0;7 528;7 528;0;7 528
a106;kwiecień 2016;31 405;21 793;365;22 158;21 864;365;22 229
a107;kwiecień 2016;53 493;33 138;10 451;43 589;36 986;14 154;51 140
a108;kwiecień 2016;29 569;20 886;654;21 540;20 894;654;21 548
a109;kwiecień 2016;25 646;17 433;147;17 580;17 637;147;17 784
a110;kwiecień 2016;10 420;6 491;0;6 491;6 496;0;6 496
a111;kwiecień 2016;54 053;36 389;425;36 814;36 619;425;37 044
a112;kwiecień 2016;26 762;17 435;1 637;19 072;18 635;1 983;20 618
a113;kwiecień 2016;14 774;10 604;166;10 770;10 622;166;10 788
a114;kwiecień 2016;36 096;26 185;63;26 248;26 570;63;26 633
a115;kwiecień 2016;420 044;283 167;214;283 381;283 167;214;283 381
a116;kwiecień 2016;21 440;15 506;296;15 802;15 533;296;15 829
a117;kwiecień 2016;22 135;15 126;163;15 289;15 155;163;15 318
a118;kwiecień 2016;23 716;18 636;277;18 913;18 646;277;18 923
a119;kwiecień 2016;20 189;13 070;119;13 189;13 099;119;13 218
a120;kwiecień 2016;32 001;23 119;1 830;24 949;23 119;1 830;24 949
a121;kwiecień 2016;57 384;20 219;312;20 531;20 219;324;20 543
a122;kwiecień 2016;44 450;38 230;419;38 649;38 505;525;39 030
a123;kwiecień 2016;21 870;14 806;174;14 980;14 944;174;15 118
a124;kwiecień 2016;7 853;5 623;91;5 714;5 629;91;5 720
a125;kwiecień 2016;243 392;150 302;1 980;152 282;155 688;14 867;170 555
a126;kwiecień 2016;27 390;20 305;555;20 860;20 468;555;21 023
a127;kwiecień 2016;36 463;27 778;245;28 023;27 782;245;28 027
a128;kwiecień 2016;7 989;3 993;93;4 086;4 494;93;4 587
a129;kwiecień 2016;6 956;4 920;148;5 068;5 186;148;5 334
a130;kwiecień 2016;19 187;10 558;79;10 637;11 676;79;11 755
a131;kwiecień 2016;18 563;12 445;196;12 641;13 993;196;14 189
a132;kwiecień 2016;15 372;11 783;164;11 947;11 784;164;11 948
a133;kwiecień 2016;7 296;2 749;1 976;4 725;2 800;2 276;5 076
a134;kwiecień 2016;9 496;3 129;66;3 195;3 129;66;3 195
a135;kwiecień 2016;54 450;26 550;360;26 910;26 550;360;26 910
a136;kwiecień 2016;13 313;7 228;2 979;10 207;9 597;2 979;12 576
a137;kwiecień 2016;63 488;43 812;10 993;54 805;43 910;10 993;54 903
a138;kwiecień 2016;10 508;5 201;18;5 219;5 201;18;5 219
a139;kwiecień 2016;240 290;145 341;0;145 341;146 061;0;146 061
a140;kwiecień 2016;13 767;8 133;0;8 133;8 133;0;8 133
